X,Y,Name,description,timestamp,begin,end,altitudeMode,tessellate,extrude,visibility,drawOrder,icon,OBJECTID,ADDRESS,SCHOOL_NAME,WEBSITE,SCHOOL_TYPE,TYPE,STATUS
-79.7422095637045,43.736315894861,,,,,,,-1,0,-1,,,131,950 NORTH PARK DR,ST. ANTHONY E.S.,http://www.dpcdsb.org/CEC,CATHOLIC,ELEMENTARY,CURRENT
-79.7927383044604,43.7314306016392,,,,,,,-1,0,-1,,,132,95 RICHVALE DR N,TERRY FOX P.S.,http://www.peelschools.org,PUBLIC,ELEMENTARY,CURRENT
-79.7464472289937,43.7382083432738,,,,,,,-1,0,-1,,,133,95 MASSEY ST,MASSEY STREET P.S.,http://www.peelschools.org,PUBLIC,ELEMENTARY,CURRENT
-79.7304095010724,43.6583645680402,,,,,,,-1,0,-1,,,134,92 MALTA AVE,FLETCHER'S CREEK SR.P.S.,http://www.peelschools.org,PUBLIC,ELEMENTARY,CURRENT
-79.7418983168619,43.6813988267869,,,,,,,-1,0,-1,,,135,9 ABBEY RD,HELEN WILSON P.S.,http://www.peelschools.org,PUBLIC,ELEMENTARY,CURRENT
-79.7488007300527,43.6890189219811,,,,,,,-1,0,-1,,,136,89 ARDGLEN DR,SIR WINSTON CHURCHILL P.S.,http://www.peelschools.org,PUBLIC,ELEMENTARY,CURRENT
-79.6931397694273,43.7251741340341,,,,,,,-1,0,-1,,,137,8525 TORBRAM RD,TALL PINES SCHOOL,http://www.edu.gov.on.ca/eng/general/elemsec/privsch/,PRIVATE,ELEMENTARY,CURRENT
-79.8183231355843,43.718494440296,,,,,,,-1,0,-1,,,138,85 BURNT ELM DR,BURNT ELM P.S.,http://www.peelschools.org,PUBLIC,ELEMENTARY,CURRENT
-79.8269440089939,43.6904670735862,,,,,,,-1,0,-1,,,139,83 MCCRIMMON DR,MCCRIMMON M.S.,http://www.peelschools.org,PUBLIC,ELEMENTARY,CURRENT
-79.8105866351411,43.6956024499079,,,,,,,-1,0,-1,,,140,83 EDENBROOK HILL DR,ST. ANGELA MERICI CATHOLIC E.S.,http://www.dpcdsb.org/CEC,CATHOLIC,ELEMENTARY,CURRENT
-79.7636594117703,43.6721607001791,,,,,,,-1,0,-1,,,141,82 MCLAUGHLIN RD S,JOHN KNOX CHRISTIAN SCHOOL,http://www.edu.gov.on.ca/eng/general/elemsec/privsch/,PRIVATE,ELEMENTARY,CURRENT
